date,I,R,D,Total_Confirmed
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,2,0,0,2
2020-03-07,8,0,0,8
2020-03-08,11,0,1,12
2020-03-09,11,0,1,12
2020-03-10,16,0,1,17
2020-03-11,18,0,1,19
2020-03-12,18,0,1,19
2020-03-13,29,0,2,31
2020-03-14,31,1,2,34
2020-03-15,42,1,2,45
2020-03-16,53,1,2,56
2020-03-17,63,3,2,68
2020-03-18,74,3,2,79
2020-03-19,91,3,3,97
2020-03-20,122,3,3,128
2020-03-21,151,3,4,158
2020-03-22,259,3,4,266
2020-03-23,294,3,4,301
2020-03-24,329,52,6,387
2020-03-25,327,52,8,387
2020-03-26,430,63,9,502
2020-03-27,504,72,13,589
2020-03-28,600,72,18,690
2020-03-29,654,72,19,745
2020-03-30,569,228,23,820
2020-03-31,787,240,27,1054
2020-04-01,778,248,28,1054
2020-04-02,841,256,36,1133
2020-04-03,960,266,39,1265
2020-04-04,1129,279,43,1451
2020-04-05,1127,280,44,1451
2020-04-06,1181,325,48,1554
2020-04-07,1234,338,56,1628
2020-04-08,1294,358,63,1715
2020-04-09,1358,365,72,1795
2020-04-10,1518,375,82,1975
2020-04-11,1452,440,83,1975
2020-04-12,1584,468,90,2142
2020-04-13,1596,515,97,2208
2020-04-14,1616,559,102,2277
2020-04-15,1736,596,111,2443
2020-04-16,1825,631,115,2571
2020-04-17,1880,666,123,2669
2020-04-18,1944,685,129,2758
2020-04-19,1998,709,132,2839
2020-04-20,2068,737,136,2941
2020-04-21,2044,840,147,3031
2020-04-22,2120,872,152,3144
2020-04-23,2351,919,165,3435
2020-04-24,2455,976,176,3607
2020-04-25,2565,1030,185,3780
2020-04-26,2593,1107,192,3892
2020-04-27,2666,1140,197,4003
2020-04-28,2758,1162,207,4127
2020-04-29,2879,1192,214,4285
2020-04-30,2954,1256,218,4428
2020-05-01,3015,1292,225,4532
2020-05-02,3124,1320,237,4681
2020-05-03,3183,1354,246,4783
2020-05-04,3185,1442,260,4887
2020-05-05,3284,1472,264,5020
2020-05-06,3411,1524,273,5208
2020-05-07,3488,1601,282,5371
2020-05-08,3659,1659,293,5611
2020-05-09,3748,1728,300,5776
2020-05-10,3972,1757,305,6034
2020-05-11,4127,1837,314,6278
2020-05-12,4382,1862,319,6563
2020-05-13,4284,2266,329,6879
2020-05-14,4396,2385,353,7134
2020-05-15,4626,2497,356,7479
2020-05-16,4908,2534,363,7805
2020-05-17,5126,2569,373,8068
2020-05-18,5364,2625,382,8371
2020-05-19,5544,2872,393,8809
2020-05-20,5947,2933,403,9283
2020-05-21,6483,3032,416,9931
2020-05-22,7154,3062,433,10649
2020-05-23,7378,3530,445,11353
2020-05-24,7892,3732,452,12076
2020-05-25,8162,3999,467,12628
2020-05-26,8577,4167,484,13228
2020-05-27,9084,4349,500,13933
2020-05-28,9577,4617,508,14702
2020-05-29,10111,4788,520,15419
2020-05-30,10898,4788,528,16214
2020-05-31,10976,5336,539,16851
2020-06-01,11338,5521,556,17415
2020-06-02,12041,5709,569,18319
2020-06-03,12789,5896,583,19268
2020-06-04,13596,5993,608,20197
2020-06-05,14317,6088,632,21037
2020-06-06,15192,6180,648,22020
2020-06-07,15221,6909,664,22794
2020-06-08,15622,7305,693,23620
2020-06-09,16476,7568,717,24761
